;;;;;;;;;;;;;;;;;;;;;
Tackles;;;;;Challenges;;;;Blocks;;;;;;;;;;;;
Player;Nation;Pos;Age;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Matches
Dominik Szoboszlai;hu HUN;MF,DF;25-003;9.0;21;15;14;4;3;16;26;61.5;10;8;3;5;6;27;27;1;Matches
Virgil van Dijk;nl NED;DF;34-112;9.0;6;4;4;1;1;2;3;66.7;1;10;7;3;10;16;87;1;Matches
Mohamed Salah;eg EGY;FW;33-135;8.9;0;0;0;0;0;0;1;0.0;1;3;1;2;1;1;3;0;Matches
Ibrahima Konaté;fr FRA;DF;26-156;8.2;17;10;9;6;2;10;13;76.9;3;7;5;2;6;23;52;2;Matches
Milos Kerkez;hu HUN;DF;21-355;7.3;12;7;7;4;1;5;9;55.6;4;5;2;3;4;16;36;2;Matches
Cody Gakpo;nl NED;FW,MF;26-174;7.8;6;2;3;2;1;4;10;40.0;6;10;1;9;5;11;6;0;Matches
Ryan Gravenberch;nl NED;MF,DF;23-165;6.7;13;6;9;4;0;5;8;62.5;3;3;0;3;9;22;11;0;Matches
Alexis Mac Allister;ar ARG;MF;26-308;5.3;8;4;2;2;4;5;10;50.0;5;7;0;7;6;14;7;0;Matches
Florian Wirtz;de GER;MF,FW;22-178;6.6;10;8;3;4;3;6;15;40.0;9;10;0;10;3;13;4;1;Matches
Alisson;br BRA;GK;33-026;6.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;5;1;Matches
Hugo Ekitike;fr FRA;FW;23-130;5.6;4;2;1;2;1;1;2;50.0;1;2;1;1;1;5;13;0;Matches
Conor Bradley;nir NIR;DF;22-111;4.0;6;6;3;3;0;2;6;33.3;4;8;2;6;4;10;10;0;Matches
Giorgi Mamardashvili;ge GEO;GK;25-029;3.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;5;1;Matches
Alexander Isak;se SWE;FW;26-037;2.8;2;2;1;0;1;1;1;100.0;0;1;0;1;0;2;1;0;Matches
Curtis Jones;eng ENG;MF;24-271;3.6;7;5;3;4;0;4;6;66.7;2;2;0;2;2;9;4;0;Matches
Jeremie Frimpong;nl NED;DF,MF;24-322;1.0;2;2;1;1;0;0;2;0.0;2;4;0;4;1;3;4;0;Matches
Andrew Robertson;sct SCO;DF;31-231;1.7;2;2;1;1;0;1;3;33.3;2;3;1;2;1;3;7;0;Matches
Federico Chiesa;it ITA;FW,MF;28-003;1.3;5;3;2;2;1;1;2;50.0;1;3;1;2;1;6;2;0;Matches
Wataru Endo;jp JPN;MF,DF;32-261;0.4;3;1;0;1;2;1;2;50.0;1;1;0;1;0;3;3;0;Matches
Joe Gomez;eng ENG;DF;28-158;0.4;0;0;0;0;0;0;0;;0;0;0;0;0;0;8;0;Matches
Rio Ngumoha;eng ENG;FW,MF;17-060;0.4;1;1;1;0;0;0;1;0.0;1;0;0;0;0;1;0;0;Matches
Harvey Elliott;eng ENG;MF,FW;22-207;0.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matches
Squad Total;;;26.9;9.0;125;80;64;41;20;64;120;53.3;56;87;24;63;60;185;295;9;
Opponent Total;;;26.8;9.0;155;93;81;56;18;78;141;55.3;63;98;41;57;97;252;;;
