Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Mohamed Salah,eg EGY,FW,32,37.5,21,11,7,5,9,8,17,47.1,9,12,0,0,0,1,13,1
Virgil van Dijk,nl NED,DF,33,37.0,38,20,17,19,2,13,22,59.1,9,27,16,12,9,30,5,0
Ryan Gravenberch,nl NED,MF,22,35.1,69,35,27,29,13,32,56,57.1,24,35,10,11,56,94,190,4
Alexis Mac Allister,ar ARG,MF,25,28.9,95,58,28,51,16,55,104,52.9,49,61,6,25,60,129,59,2
Ibrahima Konaté,fr FRA,DF,25,28.4,40,26,25,13,2,25,35,71.4,10,29,15,55,22,117,29,1
Dominik Szoboszlai,hu HUN,MF,23,27.7,38,20,14,19,5,17,45,37.8,28,39,5,14,17,57,133,3
Andrew Robertson,sct SCO,DF,30,27.6,39,22,25,10,4,31,51,60.8,20,10,4,34,9,47,19,2
Alisson,br BRA,GK,31,27.9,1,0,1,0,0,0,1,0.0,1,0,0,6,21,60,54,2
Luis Díaz,co COL,FW,27,26.7,39,26,13,20,6,15,39,38.5,24,19,0,0,0,1,13,1
Trent Alexander-Arnold,eng ENG,DF,25,26.3,72,50,44,19,9,49,105,46.7,56,26,9,19,7,46,7,1
Cody Gakpo,nl NED,FW,25,21.5,28,16,6,13,9,13,25,52.0,12,23,3,17,31,103,55,4
Curtis Jones,eng ENG,MF,DF,23,19.0,39,22,6,23,10,17,27,63.0,10,22,9,20,12,40,19,1
Diogo Jota,pt POR,FW,27,13.3,14,8,2,8,4,7,19,36.8,12,9,0,13,7,46,10,3
Caoimhín Kelleher,ie IRL,GK,25,10.0,0,0,0,0,0,0,0,,0,0,0,9,8,22,6,0
Kostas Tsimikas,gr GRE,DF,28,9.3,31,20,15,11,5,14,23,60.9,9,5,2,0,0,0,1,2
Darwin Núñez,uy URU,FW,25,12.6,21,18,11,4,6,7,18,38.9,11,6,0,3,11,42,20,0
Conor Bradley,nir NIR,DF,21,8.4,14,10,7,5,2,11,22,50.0,11,9,2,6,4,25,12,0
Joe Gomez,eng ENG,DF,27,5.8,13,10,5,7,1,11,16,68.8,5,9,6,7,4,18,31,0
Jarell Quansah,eng ENG,DF,21,5.5,12,8,8,4,0,7,10,70.0,3,10,7,3,7,20,20,2
Harvey Elliott,eng ENG,MF,21,4.1,5,3,3,1,1,2,8,25.0,6,7,2,3,7,19,28,1
Wataru Endo,jp JPN,MF,DF,31,3.0,12,8,7,5,0,6,10,60.0,4,8,1,5,1,6,3,1
Federico Chiesa,it ITA,FW,26,1.2,1,0,0,1,0,0,2,0.0,2,1,0,7,6,18,9,0
Vitezslav Jaros,cz CZE,GK,23,0.1,0,0,0,0,0,0,0,,0,0,0,1,0,1,1,1
Jayden Danns,eng ENG,MF,18,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0

